,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
K,0,0,0,0,0,0,0,0,0,0.0,0.0,12.0,58.0,94.0,96.0,91.0,66.0,81.0,55.0,45.0,25.0,13.0,12.0,-19.5,-11.0,0.0,7.0,50.0,88.0,123.0,120.0,65.0,60.0,31.0,-9.0,7.0,1.0,-4.0,-7.0,-22.0,0.0,6.0,46.0,92.0,119.0,124.0,95.0,70.0,42.0,9.0,-9.0,-10.0,-13.0,-21.0,-24.0
Ca,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,17.0,43.0,44.0,38.0,19.0,25.0,2.0,-7.0,-13.0,-22.0,-28.0,-59.5,-61.0,15.0,1.0,11.0,37.0,63.0,56.0,1.0,-4.0,-28.0,-63.0,-28.0,-32.0,-35.0,-45.0,-62.0,19.0,1.0,8.0,39.0,60.0,57.0,28.0,4.0,-23.0,-55.0,-60.0,-43.0,-40.0,-52.0,-56.0
Sc,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,-8.0,-11.0,-30.0,-39.0,-24.0,-29.0,-38.0,-69.5,-77.0,64.0,25.0,1.0,4.0,18.0,11.0,-39.0,-44.0,-61.0,-86.0,-28.0,-30.0,-30.0,-45.0,-61.0,70.0,26.0,2.0,5.0,16.0,9.0,-17.0,-39.0,-62.0,-89.0,-74.0,-37.0,-26.0,-40.0,-46.0
Ti,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-8.0,-17.0,-28.0,-35.0,-9.0,-15.0,-23.0,-51.5,-60.0,100.0,53.0,15.0,0.0,2.0,-4.0,-39.0,-43.0,-52.0,-65.0,-2.0,-8.0,-5.0,-21.0,-33.0,104.0,57.0,20.0,0.0,1.0,-6.0,-25.0,-41.0,-57.0,-74.0,-47.0,-10.0,2.0,-8.0,-14.0
V,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-14.0,-18.0,5.0,-2.0,-8.0,-31.5,-35.0,100.0,54.0,17.0,-4.0,-1.0,0.0,-21.0,-25.0,-29.0,-35.0,17.0,9.0,12.0,-1.0,-8.0,103.0,57.0,22.0,2.0,-1.0,-1.0,-13.0,-23.0,-34.0,-45.0,-19.0,10.0,22.0,15.0,10.0
Cr,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,-4.0,-7.0,12.0,5.0,-1.0,-18.5,-19.0,94.0,47.0,11.0,-12.0,-7.0,0.0,-9.0,-12.0,-13.0,-15.0,27.0,17.0,20.0,10.0,7.0,97.0,50.0,17.0,-9.0,-7.0,1.0,-4.0,-11.0,-18.0,-24.0,0.0,21.0,31.0,28.0,24.0
Mn,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-8.0,4.0,-6.0,-13.0,-31.5,-31.0,69.0,27.0,-1.0,-15.0,-4.0,5.0,-8.0,-11.0,-16.0,-23.0,13.0,2.0,3.0,-7.0,-11.0,71.0,29.0,3.0,-12.0,-4.0,6.0,-1.0,-9.0,-18.0,-28.0,-11.0,4.0,11.0,7.0,3.0
Fe,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,13.0,4.0,-2.0,-15.5,-14.0,83.0,34.0,-1.0,-25.0,-16.0,-2.0,-3.0,-5.0,-5.0,-4.0,28.0,17.0,19.0,11.0,10.0,85.0,37.0,5.0,-21.0,-15.0,0.0,0.0,-4.0,-9.0,-13.0,8.0,22.0,31.0,29.0,26.0
Co,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-5.0,-11.0,-21.5,-18.0,57.0,10.0,-22.0,-41.0,-25.0,-5.0,0.0,-1.0,-2.0,-1.0,19.0,6.0,7.0,0.0,2.0,58.0,11.0,-17.0,-35.0,-24.0,-1.0,2.0,0.0,-3.0,-7.0,7.0,12.0,18.0,17.0,14.0
Ni,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-9.0,-15.0,-23.5,-19.0,47.0,-1.0,-31.0,-49.0,-30.0,-7.0,1.0,0.0,-1.0,0.0,15.0,2.0,2.0,4.0,-1.0,48.0,0.0,-27.0,-42.0,-29.0,-3.0,2.0,1.0,-2.0,-5.0,7.0,8.0,13.0,13.0,10.0
Cu,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-11.5,-3.0,27.0,-9.0,-22.0,-23.0,3.0,19.0,8.0,7.0,-2.0,-14.0,2.0,6.0,10.0,7.0,7.0,28.0,-9.0,-21.0,-17.0,2.0,22.0,18.0,10.0,0.0,-12.0,-9.0,8.0,15.0,15.0,15.0
Zn,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.5,-6.0,14.0,-21.0,-31.0,-29.0,-1.0,12.0,-4.0,-5.0,-17.0,-33.0,-4.0,1.0,3.0,1.0,-1.0,15.0,-23.0,-31.0,-24.0,-3.0,15.0,8.0,-1.0,-13.0,-29.0,-16.0,1.0,6.0,5.0,4.0
